Date,Open,Close,Change
2025-01-10,3761.549,3736.886,-0.66
2025-01-09,3765.163,3761.777,-0.09
2025-01-08,3754.514,3765.056,0.28
2025-01-07,3706.556,3754.615,1.28
2025-01-06,3757.429,3707.014,-1.36
2025-01-03,3766.594,3757.951,-0.23
2024-12-30,3753.896,3766.703,0.34
2024-12-27,3767.262,3754.123,-0.35
2024-12-23,3748.691,3767.15,0.49
2024-12-20,3708.102,3748.966,1.09
2024-12-19,3780.106,3708.531,-1.93
2024-12-18,3774.744,3781.551,0.18
2024-12-17,3765.082,3774.897,0.26
2024-12-16,3748.220,3765.163,0.45
2024-12-12,3744.519,3748.267,0.1
2024-12-11,3749.319,3744.451,-0.13
2024-12-10,3735.431,3749.303,0.37
2024-12-09,3752.791,3735.607,-0.46
2024-12-06,3782.755,3752.733,-0.8
2024-12-05,3785.848,3782.822,-0.08
2024-12-04,3788.510,3785.86,-0.07
2024-12-03,3780.565,3788.521,0.21
2024-12-02,3789.049,3780.731,-0.22
2024-11-29,3762.272,3789.175,0.71
2024-11-28,3785.803,3762.476,-0.62
2024-11-27,3780.470,3785.77,0.14
2024-11-26,3781.675,3780.541,-0.03
2024-11-25,3793.171,3781.826,-0.3
2024-11-22,3786.616,3793.064,0.17
2024-11-21,3789.366,3786.715,-0.07
2024-11-20,3794.884,3789.2,-0.15
2024-11-19,3794.100,3794.859,0.02
2024-11-18,3808.248,3794.209,-0.37
2024-11-15,3797.826,3808.49,0.28
2024-11-14,3809.063,3797.67,-0.3
2024-11-13,3826.467,3808.946,-0.46
2024-11-12,3826.340,3826.723,0.01
2024-11-11,3850.761,3826.273,-0.64
2024-11-08,3851.103,3851.103,0
2024-11-07,3852.592,3851.052,-0.04
2024-11-06,3860.750,3852.659,-0.21
2024-11-05,3862.186,3860.642,-0.04
2024-11-04,3856.128,3862.308,0.16
2024-11-01,3845.520,3856.318,0.28
2024-10-31,3827.079,3845.538,0.48
2024-10-30,3827.523,3827.14,-0.01
2024-10-29,3814.595,3827.609,0.34
2024-10-28,3825.211,3814.53,-0.28
2024-10-25,3828.031,3825.353,-0.07
2024-10-24,3825.004,3828.066,0.08
2024-10-23,3812.428,3825.051,0.33
2024-10-22,3770.503,3812.44,1.1
2024-10-21,3778.036,3770.871,-0.19
2024-10-18,3799.255,3778.098,-0.56
2024-10-17,3796.570,3799.229,0.07
2024-10-16,3815.834,3796.472,-0.51
2024-10-15,3780.311,3815.798,0.93
2024-10-14,3771.674,3780.748,0.24
2024-10-11,3780.725,3771.673,-0.24
2024-10-10,3772.126,3780.822,0.23
2024-10-09,3766.039,3772.074,0.16
2024-10-08,3777.028,3766.106,-0.29
2024-10-07,3764.181,3777.023,0.34
2024-10-04,3766.795,3764.16,-0.07
2024-10-03,3776.790,3766.62,-0.27
2024-10-02,3768.361,3776.67,0.22
2024-10-01,3790.328,3768.471,-0.58
2024-09-30,3769.958,3790.426,0.54
2024-09-27,3765.303,3770.204,0.13
2024-09-26,3762.911,3765.17,0.06
2024-09-25,3789.617,3762.9,-0.71
2024-09-24,3799.695,3789.841,-0.26
2024-09-23,3787.273,3799.812,0.33
2024-09-20,3795.350,3787.396,-0.21
2024-09-19,3795.669,3795.289,-0.01
2024-09-18,3793.118,3795.775,0.07
2024-09-17,3796.468,3793.054,-0.09
2024-09-16,3795.175,3796.314,0.03
2024-09-13,3796.118,3795.359,-0.02
2024-09-12,3738.450,3796.151,1.52
2024-09-11,3789.035,3739.302,-1.33
2024-09-10,3799.705,3789.851,-0.26
2024-09-09,3785.503,3799.561,0.37
2024-09-06,3768.728,3785.384,0.44
2024-09-05,3760.674,3768.966,0.22
2024-09-04,3848.371,3760.746,-2.33
2024-09-03,3862.591,3850.654,-0.31
2024-09-02,3835.501,3862.539,0.7
2024-08-30,3817.987,3835.631,0.46
2024-08-29,3860.157,3818.157,-1.1
2024-08-28,3877.717,3860.73,-0.44
2024-08-27,3859.072,3877.685,0.48
2024-08-26,3862.493,3859.02,-0.09
2024-08-23,3835.203,3862.628,0.71
2024-08-22,3858.493,3835.48,-0.6
2024-08-21,3876.741,3858.606,-0.47
2024-08-20,3867.460,3876.764,0.24
2024-08-19,3882.010,3867.314,-0.38
2024-08-16,3873.660,3882.201,0.22
2024-08-14,3875.392,3873.842,-0.04
2024-08-13,3865.724,3875.413,0.25
2024-08-12,3848.325,3865.721,0.45
2024-08-09,3829.460,3848.317,0.49
2024-08-08,3816.494,3829.514,0.34
2024-08-07,3809.276,3816.527,0.19
2024-08-06,3815.012,3809.298,-0.15
2024-08-05,3837.307,3815.179,-0.58
2024-08-02,3807.811,3837.359,0.77
2024-08-01,3766.883,3808.009,1.08
2024-07-31,3763.942,3767.333,0.09
2024-07-30,3762.712,3763.841,0.03
2024-07-29,3722.064,3762.701,1.08
2024-07-26,3722.460,3722.46,0
2024-07-25,3707.641,3722.531,0.4
2024-07-24,3719.997,3707.761,-0.33
2024-07-23,3692.932,3720.089,0.73
2024-07-22,3688.190,3692.991,0.13
2024-07-19,3700.482,3688.311,-0.33
2024-07-18,3694.032,3700.693,0.18
2024-07-17,3693.089,3694.197,0.03
2024-07-16,3683.821,3693.054,0.25
2024-07-15,3706.161,3683.69,-0.61
2024-07-12,3715.381,3706.116,-0.25
2024-07-11,3704.288,3715.434,0.3
2024-07-10,3700.308,3704.383,0.11
2024-07-09,3706.193,3700.273,-0.16
2024-07-08,3727.138,3706.382,-0.56
2024-07-05,3743.450,3727.422,-0.43
2024-07-04,3734.335,3743.694,0.25
2024-07-03,3740.352,3734.377,-0.16
2024-07-02,3751.590,3740.369,-0.3
2024-07-01,3730.061,3751.444,0.57
2024-06-28,3717.915,3730.225,0.33
2024-06-27,3724.596,3717.904,-0.18
2024-06-26,3717.256,3724.705,0.2
2024-06-25,3722.228,3717.395,-0.13
2024-06-24,3735.062,3722.406,-0.34
2024-06-21,3745.036,3734.952,-0.27
2024-06-20,3728.204,3745.057,0.45
2024-06-19,3729.271,3728.153,-0.03
2024-06-18,3742.129,3729.449,-0.34
2024-06-17,3706.840,3742.015,0.94
2024-06-14,3718.452,3707.33,-0.3
2024-06-13,3727.209,3718.656,-0.23
2024-06-12,3712.979,3727.142,0.38
2024-06-11,3716.879,3713.166,-0.1
2024-06-10,3702.395,3716.891,0.39
2024-06-06,3701.052,3702.533,0.04
2024-06-05,3708.799,3701.027,-0.21
2024-06-04,3706.034,3709.001,0.08
2024-06-03,3712.282,3705.982,-0.17
2024-05-31,3694.479,3712.298,0.48
2024-05-30,3695.333,3694.594,-0.02
2024-05-29,3692.918,3695.505,0.07
2024-05-28,3698.813,3692.904,-0.16
2024-05-27,3693.967,3698.775,0.13
2024-05-24,3719.374,3693.886,-0.69
2024-05-23,3751.758,3719.399,-0.87
2024-05-22,3757.329,3752.076,-0.14
2024-05-21,3738.168,3757.33,0.51
2024-05-20,3758.700,3738.14,-0.55
2024-05-17,3743.717,3758.752,0.4
2024-05-16,3745.557,3743.685,-0.05
2024-05-15,3755.033,3745.669,-0.25
2024-05-14,3765.244,3755.105,-0.27
2024-05-13,3799.139,3765.252,-0.9
2024-05-10,3743.290,3799.523,1.48
2024-05-09,3724.703,3744.173,0.52
2024-05-08,3793.341,3724.805,-1.84
2024-05-07,3785.239,3794.726,0.25
2024-05-06,3796.329,3785.351,-0.29
2024-05-03,3778.124,3796.346,0.48
2024-05-02,3766.438,3778.15,0.31
2024-04-30,3742.849,3766.578,0.63
2024-04-29,3783.374,3742.95,-1.08
2024-04-26,3788.427,3783.886,-0.12
2024-04-25,3770.884,3788.31,0.46
2024-04-24,3769.727,3770.858,0.03
2024-04-23,3732.227,3769.546,0.99
2024-04-22,3736.218,3732.486,-0.1
2024-04-19,3742.527,3736.176,-0.17
2024-04-18,3730.962,3742.564,0.31
2024-04-17,3734.954,3730.85,-0.11
2024-04-16,3735.862,3735.115,-0.02
2024-04-15,3743.999,3735.78,-0.22
2024-04-12,3745.927,3744.055,-0.05
2024-04-11,3770.764,3746.04,-0.66
2024-04-10,3745.059,3771.079,0.69
2024-04-09,3713.024,3745.233,0.86
2024-04-08,3739.970,3713.235,-0.72
2024-04-05,3770.650,3739.982,-0.82
2024-04-04,3782.178,3770.865,-0.3
2024-04-03,3774.845,3782.031,0.19
2024-04-02,3785.449,3774.879,-0.28
2024-03-28,3781.022,3785.565,0.12
2024-03-27,3782.551,3781.039,-0.04
2024-03-26,3785.087,3782.439,-0.07
2024-03-25,3752.582,3785.134,0.86
2024-03-22,3752.274,3753.025,0.02
2024-03-21,3783.565,3752.42,-0.83
2024-03-20,3780.407,3783.812,0.09
2024-03-18,3787.544,3780.361,-0.19
2024-03-15,3789.896,3787.623,-0.06
2024-03-14,3765.089,3789.722,0.65
2024-03-13,3805.826,3765.162,-1.08
2024-03-12,3833.342,3806.317,-0.71
2024-03-11,3819.899,3833.7,0.36
2024-03-08,3822.478,3819.804,-0.07
2024-03-07,3825.427,3822.369,-0.08
2024-03-06,3865.327,3825.541,-1.04
2024-03-05,3862.956,3865.662,0.07
2024-03-04,3847.626,3863.078,0.4
2024-03-01,3816.766,3847.546,0.8
2024-02-29,3798.238,3816.941,0.49
2024-02-28,3773.658,3798.347,0.65
2024-02-27,3774.285,3773.908,-0.01
2024-02-26,3780.137,3774.098,-0.16
2024-02-23,3771.404,3780.098,0.23
2024-02-22,3758.846,3771.291,0.33
2024-02-21,3744.493,3758.776,0.38
2024-02-20,3742.120,3744.367,0.06
2024-02-19,3750.331,3742.098,-0.22
2024-02-16,3787.051,3750.298,-0.98
2024-02-15,3765.537,3787.505,0.58
2024-02-14,3778.695,3765.516,-0.35
2024-02-13,3767.527,3778.864,0.3
2024-02-12,3751.414,3767.615,0.43
2024-02-09,3744.454,3751.582,0.19
2024-02-08,3737.344,3744.458,0.19
2024-02-07,3743.872,3737.518,-0.17
2024-02-06,3762.062,3743.718,-0.49
2024-02-05,3774.621,3762.206,-0.33
2024-02-02,3771.204,3774.601,0.09
2024-02-01,3770.171,3771.302,0.03
2024-01-31,3755.432,3770.136,0.39
2024-01-30,3768.404,3755.635,-0.34
2024-01-29,3756.000,3768.436,0.33
2024-01-26,3738.851,3756.129,0.46
2024-01-25,3768.607,3739.068,-0.79
2024-01-24,3775.879,3768.718,-0.19
2024-01-23,3762.163,3775.756,0.36
2024-01-22,3794.045,3762.067,-0.85
2024-01-19,3801.331,3794.501,-0.18
2024-01-18,3787.679,3801.364,0.36
2024-01-17,3787.044,3787.802,0.02
2024-01-16,3758.953,3786.977,0.74
2024-01-15,3835.112,3759.177,-2.02
2024-01-12,3854.934,3836.519,-0.48
2024-01-11,3813.022,3855.042,1.09
2024-01-10,3832.743,3813.295,-0.51
2024-01-09,3846.429,3833.013,-0.35
2024-01-08,3889.070,3846.375,-1.11
2024-01-05,3895.756,3889.533,-0.16
2024-01-04,3893.137,3895.864,0.07
2024-01-03,3958.183,3893.167,-1.67
2023-12-29,3858.027,3959.387,2.56
2023-12-28,3859.650,3860.422,0.02
2023-12-27,3786.852,3859.802,1.89
2023-12-22,3826.748,3788.109,-1.02
2023-12-21,3691.931,3827.025,3.53
2023-12-20,3699.159,3696.571,-0.07
2023-12-19,3673.847,3699,0.68
2023-12-18,3665.319,3674.137,0.24
2023-12-15,3672.581,3665.25,-0.2
2023-12-14,3665.223,3672.568,0.2
2023-12-12,3647.729,3665.323,0.48
2023-12-11,3672.105,3647.666,-0.67
2023-12-07,3677.627,3672.119,-0.15
2023-12-06,3670.765,3677.753,0.19
2023-12-05,3681.809,3670.797,-0.3
2023-12-04,3714.741,3681.971,-0.89
2023-12-01,3718.540,3715.196,-0.09
2023-11-30,3664.182,3718.472,1.46
2023-11-29,3652.481,3664.942,0.34
2023-11-28,3629.298,3652.675,0.64
2023-11-27,3614.665,3629.546,0.41
2023-11-24,3579.823,3614.887,0.97
2023-11-23,3559.415,3580.18,0.58
2023-11-22,3578.464,3559.598,-0.53
2023-11-21,3566.185,3578.71,0.35
2023-11-20,3579.583,3566.387,-0.37
2023-11-17,3568.488,3579.585,0.31
2023-11-16,3578.451,3568.459,-0.28
2023-11-15,3569.244,3578.548,0.26
2023-11-14,3579.891,3569.183,-0.3
2023-11-13,3616.932,3580.057,-1.03
2023-11-10,3615.472,3617.281,0.05
2023-11-09,3617.412,3615.604,-0.05
2023-11-08,3609.159,3617.479,0.23
2023-11-07,3626.494,3609.17,-0.48
2023-11-06,3611.539,3626.407,0.41
2023-11-03,3610.652,3611.736,0.03
2023-11-02,3604.524,3610.662,0.17
2023-11-01,3618.276,3604.579,-0.38
2023-10-31,3597.905,3618.167,0.56
2023-10-30,3600.807,3597.929,-0.08
2023-10-27,3598.691,3600.852,0.06
2023-10-26,3590.012,3598.649,0.24
2023-10-25,3598.038,3590.14,-0.22
2023-10-24,3597.934,3597.934,0
2023-10-23,3608.368,3597.934,-0.29
2023-10-20,3598.955,3608.337,0.26
2023-10-19,3598.509,3598.869,0.01
2023-10-18,3596.552,3598.351,0.05
2023-10-17,3635.824,3596.621,-1.09
2023-10-16,3647.012,3636.104,-0.3
2023-10-13,3637.649,3647.132,0.26
2023-10-12,3635.536,3637.719,0.06
2023-10-11,3610.435,3635.52,0.69
2023-10-10,3617.970,3610.749,-0.2
2023-10-09,3627.849,3618.08,-0.27
2023-10-06,3683.867,3627.996,-1.54
2023-10-05,3676.680,3684.787,0.22
2023-10-04,3675.474,3676.577,0.03
2023-10-03,3673.408,3675.613,0.06
2023-10-02,3691.608,3673.242,-0.5
2023-09-29,3683.355,3691.846,0.23
2023-09-28,3702.229,3683.443,-0.51
2023-09-27,3661.103,3702.197,1.11
2023-09-26,3687.330,3661.698,-0.7
2023-09-25,3684.147,3687.466,0.09
2023-09-22,3692.244,3684.139,-0.22
2023-09-20,3696.298,3692.237,-0.11
2023-09-19,3676.191,3696.15,0.54
2023-09-18,3697.152,3676.198,-0.57
2023-09-15,3695.432,3697.281,0.05
2023-09-14,3704.899,3695.291,-0.26
2023-09-13,3765.126,3705.103,-1.62
2023-09-12,3737.440,3766.062,0.76
2023-09-11,3722.834,3737.785,0.4
2023-09-07,3724.635,3722.774,-0.05
2023-09-06,3726.963,3724.728,-0.06
2023-09-05,3738.784,3726.858,-0.32
2023-09-04,3750.237,3738.647,-0.31
2023-09-01,3742.201,3750.452,0.22
2023-08-31,3724.527,3742.115,0.47
2023-08-30,3724.455,3724.455,0
2023-08-29,3727.257,3724.278,-0.08
2023-08-28,3742.580,3727.298,-0.41
2023-08-25,3750.859,3742.625,-0.22
2023-08-24,3751.238,3750.863,-0.01
2023-08-23,3755.842,3751.34,-0.12
2023-08-22,3779.473,3755.811,-0.63
2023-08-21,3798.518,3779.62,-0.5
2023-08-18,3803.620,3798.682,-0.13
2023-08-17,3805.682,3803.78,-0.05
2023-08-16,3824.425,3805.777,-0.49
2023-08-14,3833.976,3824.415,-0.25
2023-08-11,3829.637,3833.854,0.11
2023-08-10,3833.095,3829.648,-0.09
2023-08-09,3840.766,3833.1,-0.2
2023-08-08,3855.577,3840.599,-0.39
2023-08-07,3868.801,3855.692,-0.34
2023-08-04,3853.935,3869.024,0.39
2023-08-03,3836.612,3853.955,0.45
2023-08-02,3829.151,3836.825,0.2
2023-08-01,3790.152,3829.21,1.02
2023-07-31,3802.386,3790.635,-0.31
2023-07-28,3785.742,3802.473,0.44
2023-07-27,3780.164,3785.843,0.15
2023-07-26,3763.520,3780.153,0.44
2023-07-25,3758.939,3763.455,0.12
2023-07-24,3791.248,3758.921,-0.86
2023-07-21,3778.504,3791.395,0.34
2023-07-20,3769.339,3778.407,0.24
2023-07-19,3787.684,3769.215,-0.49
2023-07-18,3776.368,3787.731,0.3
2023-07-17,3739.485,3776.495,0.98
2023-07-14,3741.653,3739.783,-0.05
2023-07-13,3760.902,3741.819,-0.51
2023-07-12,3775.304,3761.012,-0.38
2023-07-11,3773.500,3775.388,0.05
2023-07-10,3771.824,3773.333,0.04
2023-07-07,3760.749,3771.687,0.29
2023-07-06,3751.905,3760.931,0.24
2023-07-05,3740.376,3752.007,0.31
2023-07-04,3754.247,3740.407,-0.37
2023-07-03,3749.448,3754.329,0.13
2023-06-30,3742.801,3749.55,0.18
2023-06-28,3739.125,3742.868,0.1
2023-06-27,3736.073,3739.064,0.08
2023-06-26,3693.438,3736.029,1.14
2023-06-23,3711.159,3693.798,-0.47
2023-06-22,3716.807,3711.24,-0.15
2023-06-21,3732.224,3716.984,-0.41
2023-06-20,3712.331,3732.111,0.53
2023-06-19,3734.112,3712.579,-0.58
2023-06-16,3697.846,3734.066,0.97
2023-06-15,3668.700,3698.286,0.8
2023-06-14,3696.683,3668.8,-0.76
2023-06-13,3707.798,3697.076,-0.29
2023-06-12,3734.603,3707.906,-0.72
2023-06-09,3771.907,3734.931,-0.99
2023-06-08,3760.335,3772.407,0.32
2023-06-06,3765.207,3760.319,-0.13
2023-06-05,3763.198,3765.081,0.05
2023-06-02,3747.128,3763.31,0.43
2023-06-01,3745.213,3747.087,0.05
2023-05-31,3716.062,3745.275,0.78
2023-05-30,3694.256,3716.181,0.59
2023-05-29,3660.895,3694.515,0.91
2023-05-26,3663.499,3661.302,-0.06
2023-05-25,3639.234,3663.413,0.66
2023-05-24,3641.975,3639.427,-0.07
2023-05-23,3651.064,3641.959,-0.25
2023-05-22,3672.531,3650.99,-0.59
2023-05-19,3668.248,3672.655,0.12
